Variable,Pre_IPTW,Post_IPTW
male,0.011979625684060562,0.002315403984202868
age_mid,0.26049154808422137,0.02463169908723407
black,0.07540488960731423,0.010411426324621163
asian,0.08954001355955366,0.008099330713714624
other_race,0.06594078285956044,0.010574252481762475
married,0.49849318004635823,0.05672940697710066
homeowner,0.3863187116591458,0.032085847339490554
employed,0.26420784112585427,0.014408586312764201
edu_num,0.20662564815020812,0.016448989973989532
current_smoker,0.16995290675086655,0.0014842766775290893
active,0.17798384365476322,0.03263432505038594
obese,0.03153485034359785,0.01751935363866028
drinks_alcohol,0.0528404842117307,0.04902285898744941
has_doctor_bin,0.18165687510035072,0.028046530855608303
insured,0.1612174333271472,0.02041387717371692
cost_barrier_bin,0.3603842165553972,0.029262380708305183
checkup_recent,0.15933007619084805,0.011630529795320898
food_stamps_bin,0.23144486481492776,0.012716499974038706
unsafe_neighbourhood,0.11236035747441966,0.005531739821941449
