Outcome,Moderator,Stratum,n,n_treated,OR,OR_lo,OR_hi,RD_pp,p_value,LRT_p,LRT_sig
Depression,Sex,Female,106005,28247,3.055321313215392,2.961664775811993,3.151939545362244,22.033206585862462,0.0,0.07010170232274546,False
Depression,Sex,Male,93735,25379,3.1655503431708563,3.0445124337772893,3.2914002465467203,15.899247091515672,0.0,0.07010170232274546,False
Depression,Age group,18–44,67729,22091,3.2480842457958534,3.120588760352547,3.380788715843267,21.786729590159396,0.0,0.31910290906383565,False
Depression,Age group,45–64,36155,9528,2.949987268605488,2.791308785023509,3.1176862021237013,20.555572193503917,0.0,0.31910290906383565,False
Depression,Age group,65+,95856,22007,3.0736582477139693,2.9618929225763106,3.189640973085077,16.599930022630698,0.0,0.31910290906383565,False
Depression,Race/ethnicity,White NH,165882,42398,3.1409405212972854,3.059418926021992,3.2246343494890004,20.51280091127726,0.0,0.9992933267758027,False
Depression,Race/ethnicity,Black NH,21004,6676,2.987634824837886,2.7554810506139407,3.2393479333110777,14.183116011950847,5.733708661920438e-155,0.9992933267758027,False
Depression,Race/ethnicity,Asian NH,6135,2209,2.5174499983662875,2.100927797152571,3.0165503559255264,7.543438463979957,1.450173037259101e-23,0.9992933267758027,False
Depression,Race/ethnicity,Other,7281,2572,2.7548452540717756,2.4247020883534156,3.1299401317526385,15.138042262613673,1.3754646437513821e-54,0.9992933267758027,False
Depression,Education,≤ High school,3847,1659,2.4163613436396036,1.994008140939387,2.928173673496188,9.541679777198409,2.236885855422274e-19,5.260494232985795e-06,True
Depression,Education,Some college,56312,18180,2.9053662225133956,2.773110880230832,3.0439290931703096,16.58517568438908,0.0,5.260494232985795e-06,True
Depression,Education,College grad,139581,33787,3.203749643035067,3.1127928550404227,3.297364217033334,20.582597597610118,0.0,5.260494232985795e-06,True
Depression,Employment,Employed,146213,34510,3.0561227041496464,2.967539498973477,3.147350182213168,17.456939148084135,0.0,0.026644327757396467,True
Depression,Employment,Not employed,53527,19116,3.1793906963510796,3.0447523917932964,3.319982678161258,23.565830124835994,0.0,0.026644327757396467,True
Multimorbidity,Sex,Female,106005,28247,1.3671927518496823,1.3237732236233206,1.4120364329428314,5.180619177476692,1.902991216394439e-80,2.394893628338735e-10,True
Multimorbidity,Sex,Male,93735,25379,1.1934357681959256,1.1496867181551862,1.2388496016504793,2.9136018123474496,1.686131840280361e-20,2.394893628338735e-10,True
Multimorbidity,Age group,18–44,67729,22091,1.5568675348657326,1.4662792517440448,1.6530524579379442,3.4530757091693802,1.7856146595546143e-47,2.2023199130308858e-10,True
Multimorbidity,Age group,45–64,36155,9528,1.3503163753862113,1.2783609454837386,1.4263219789980275,6.561306181163418,5.935040256455251e-27,2.2023199130308858e-10,True
Multimorbidity,Age group,65+,95856,22007,1.2141353599232492,1.1775468068173578,1.251860786918681,4.5267654655725025,1.8267794015700536e-35,2.2023199130308858e-10,True
Multimorbidity,Race/ethnicity,White NH,165882,42398,1.29461488491118,1.2607040227115496,1.3294378934626947,4.456193281584886,4.735634966833658e-81,0.9398218268733544,False
Multimorbidity,Race/ethnicity,Black NH,21004,6676,1.2848624094793397,1.1906310194390097,1.386551655668182,2.1426420267460333,1.1192478460104109e-10,0.9398218268733544,False
Multimorbidity,Race/ethnicity,Asian NH,6135,2209,0.9856407602680065,0.8168358544706111,1.1893303935970245,1.3053417822701308,0.8800504304238155,0.9398218268733544,False
Multimorbidity,Race/ethnicity,Other,7281,2572,1.3857567213529394,1.22078818866832,1.5730179146552887,6.36495786005844,4.536923582445199e-07,0.9398218268733544,False
Multimorbidity,Education,≤ High school,3847,1659,1.3223224670866116,1.108352727633418,1.5775994982170898,2.5216195978789937,0.0019201600492247406,0.3560052848775097,False
Multimorbidity,Education,Some college,56312,18180,1.2642033370862245,1.2076789826271963,1.3233732643282279,3.6885789702472693,9.600817616304494e-24,0.3560052848775097,False
Multimorbidity,Education,College grad,139581,33787,1.3038596602936872,1.266331713811589,1.3424997535788725,4.359582565628283,6.238409914781102e-71,0.3560052848775097,False
Multimorbidity,Employment,Employed,146213,34510,1.2445004529226456,1.2085865191339766,1.281481592591702,3.11189813702738,1.5447912451148564e-48,1.9016139374422151e-06,True
Multimorbidity,Employment,Not employed,53527,19116,1.390170808672411,1.3298935741307165,1.453180100180671,6.403077065599988,4.623476695901236e-48,1.9016139374422151e-06,True
Poor/fair health,Sex,Female,106005,28247,2.0150058582073047,1.9436200036477231,2.089013593701245,9.973602248254531,0.0,1.2205032054640744e-09,True
Poor/fair health,Sex,Male,93735,25379,1.7346285983252163,1.6673208187001123,1.8046535138171858,8.36439583897992,7.630500459955983e-164,1.2205032054640744e-09,True
Poor/fair health,Age group,18–44,67729,22091,2.1248490917813254,2.021760383557832,2.2331942497055923,8.720233255322057,6.780930263293166e-194,5.039901196549125e-07,True
Poor/fair health,Age group,45–64,36155,9528,1.806323660029146,1.6963858616695853,1.9233862050523296,9.527307074057912,4.644032804460112e-76,5.039901196549125e-07,True
Poor/fair health,Age group,65+,95856,22007,1.7900127472464042,1.7253154030346256,1.8571361674908287,9.662441121453359,5.585917869813671e-211,5.039901196549125e-07,True
Poor/fair health,Race/ethnicity,White NH,165882,42398,1.909085188572503,1.8531771844250489,1.9666798662631144,9.563441930548022,0.0,0.096529094415279,False
Poor/fair health,Race/ethnicity,Black NH,21004,6676,1.705811731468306,1.5819301832581312,1.8393944903572867,6.873779876033204,8.020860683922713e-44,0.096529094415279,False
Poor/fair health,Race/ethnicity,Asian NH,6135,2209,1.8356511035994834,1.5552762026932818,2.166570136102396,7.047184266654353,6.835380063882773e-13,0.096529094415279,False
Poor/fair health,Race/ethnicity,Other,7281,2572,1.7384891546866528,1.5426806437522984,1.959151139416511,9.419523504330543,1.1816179253382474e-19,0.096529094415279,False
Poor/fair health,Education,≤ High school,3847,1659,1.4513308245627705,1.2508762372755746,1.6839085271247414,5.785228119173818,9.027767137193374e-07,0.00010734517800124808,True
Poor/fair health,Education,Some college,56312,18180,1.7399042479069904,1.6637122185837625,1.819585597839604,9.48373506965605,8.110195881750598e-130,0.00010734517800124808,True
Poor/fair health,Education,College grad,139581,33787,1.9690029805863856,1.9033800061581203,2.03688844319824,9.032860677179725,0.0,0.00010734517800124808,True
Poor/fair health,Employment,Employed,146213,34510,1.8060960429969448,1.745219693090586,1.869095867668454,6.919074382966607,2.4463030092698062e-250,0.0009749265946328709,True
Poor/fair health,Employment,Not employed,53527,19116,1.9872442561151877,1.904206323567957,2.0739032764386627,14.786984922823548,2.87754958781613e-218,0.0009749265946328709,True
