Variable,"Total (N=199,740)","Isolated (N=53,626)","Not isolated (N=146,114)",SMD
"  Age, mean (SD)",49.2 (19.7),45.6 (19.9),50.7 (19.4),-0.260
  Female sex (%),51.4,51.0,51.6,0.012
  Age ≥65 (%),33.0,26.9,35.4,-0.184
  Black/African-American (%),15.3,17.2,14.5,0.075
  Hispanic (%),0.0,0.0,0.0,—
  Asian (%),7.5,9.2,6.8,0.090
  Other/multiracial (%),3.9,4.9,3.6,0.066
  Married/partnered (%),50.9,33.8,57.9,-0.498
  Homeowner (%),70.6,58.0,75.8,-0.386
  Employed (%),71.5,63.0,75.1,-0.264
  Current smoker (%),10.3,14.1,8.7,0.170
  Physically active (%),77.7,72.4,79.9,-0.178
  Obese (BMI ≥30) (%),34.4,35.5,34.0,0.032
  Any alcohol use (%),50.1,48.2,50.8,-0.053
  Has personal doctor (%),84.6,79.8,86.6,-0.182
  Health insurance (%),92.7,89.6,94.0,-0.161
  Cost barrier to care (%),11.3,20.0,7.7,0.360
  Routine checkup <1 yr (%),78.6,73.9,80.6,-0.159
  Food stamps/SNAP (%),11.2,16.7,9.0,0.231
  Financial hardship (%),0.0,0.0,0.0,—
  Unsafe neighbourhood (%),0.9,1.7,0.5,0.112
  Less than HS (%),4.3,6.0,3.6,0.112
  Some college (%),33.1,38.2,31.0,0.153
  College grad (%),62.6,55.8,65.4,-0.198
── OUTCOMES ──,,,,—
  Depression (%),21.1,36.2,14.9,0.504
  Multimorbidity ≥2 (%),23.9,25.8,23.1,0.061
  Poor/fair general health (%),19.7,30.1,15.4,0.356
